Youtube Link,Start time,End time,Are Start And End Time Valid,Name of the video,Description,Target Video Name
https://www.youtube.com/watch?v=XrpFygyQ9W0,22,36,TRUE,VideobombCompilation,3 dudes jumping around,3GuysJumping.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,39,44,TRUE,VideobombCompilation,Dog answering nature's call,DogNatureCall.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,45,50,TRUE,VideobombCompilation,"Guy Drinking From a vase
",GuyDrinkingFromVase.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,51,59,TRUE,VideobombCompilation,"Girl in a horse mask
",GirlInAHorseMask.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,60,74,TRUE,VideobombCompilation,Guy Doing Yoga interrupted by cat,GuyYogaInterruptCat.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,78,92,TRUE,VideobombCompilation,Basketballer Reporter Making Faces,BasketballerReporterMakingFaces.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,93,97,TRUE,VideobombCompilation,"Kid Touches Reporter's Face
",KidTouchesFace.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,97,106,TRUE,VideobombCompilation,Baseball Reporter Two Guys Annoy,BaseballReporterTwoGuysAnnoy.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,108,112,TRUE,VideobombCompilation,Cop Slow-Mo Out Of Live Telecast,CopSlowMoOutOfLiveTelecast.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,113,130,TRUE,VideobombCompilation,Grandma VideoBombs 2 Guys,GrandmaVideoBombs2Guys.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,135,139,TRUE,VideobombCompilation,Goofy Guy VideoBombs Live Reporter,GoofyGuyVideoBombsLiveReporter.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,141,144,TRUE,VideobombCompilation,Weird Girl Licks Reporters Neck,WeirdGirlLicksReportersNeck.mp4
https://www.youtube.com/watch?v=XrpFygyQ9W0,145,158,TRUE,VideobombCompilation,Grey Cat VideoBombs Girl doing yoga,GreyCatVideoBombsGirlYoga.mp4
,,,,,,
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,2,18,TRUE,BEST NEWS VIDEOBOMBS EVER,"Kid waddles through BB court
",KidInBBCourt.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,19,26,TRUE,BEST NEWS VIDEOBOMBS EVER,"Sportsman popping eyes while someone is reporting
",SportsmanPopOutEyes.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,28,35,TRUE,BEST NEWS VIDEOBOMBS EVER,Someone eating cotton candy weirdly behind two reporters,WeirdCottonCandyGuy.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,36,47,TRUE,BEST NEWS VIDEOBOMBS EVER,Award Winning ceremony interupted by a a guy in red,RedInterruptsAwardCeremony.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,48,64,TRUE,BEST NEWS VIDEOBOMBS EVER,Guy Particularly fond of his biceps and forearms,GuyFondOfHisBiceps.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,65,90,TRUE,BEST NEWS VIDEOBOMBS EVER,Weird guy with nail polish bottle and a weird guy with tattoos,TattooAndNailPolishGuy.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,90,111,TRUE,BEST NEWS VIDEOBOMBS EVER,Air Guitar Guy behind a reporter in snow,AirGuitarGuy.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,112,123,TRUE,BEST NEWS VIDEOBOMBS EVER,3 Huys Frolicking in Rain,GuysFrolickInRain.mp4
